17
zapis017.txt
REJESTRATOR v1.0
by BOGON


Data       Godzina      Szerokosc Dlugosc    Wysokosc SATS Przyspiezenie   Pochylenie
                        (deg)     (deg)      (m)           X, Y, Z               Przechylenie
------------------------------------------------------------------------------------------------
25/05/2017 20:41:23 	51.099090 23.452514  143.90   3    0.01,0.11,0.99  4.89  -5.94
25/05/2017 20:41:24 	51.099079 23.452529  143.90   3    0.00,0.11,0.99  4.80  -5.96
25/05/2017 20:41:24 	51.099079 23.452529  142.10   3    0.00,0.12,0.99  4.78  -6.01
25/05/2017 20:41:24 	51.099079 23.452529  142.10   3    0.01,0.11,0.98  4.80  -5.93
25/05/2017 20:41:25 	51.099079 23.452503  140.20   3    0.01,0.12,0.98  4.86  -6.07
25/05/2017 20:41:25 	51.099079 23.452503  140.20   3    0.01,0.11,0.98  4.89  -6.05
25/05/2017 20:41:25 	51.099079 23.452503  140.20   3    0.01,0.11,0.98  4.93  -6.00
25/05/2017 20:41:26 	51.099063 23.452543  140.20   3    0.01,0.11,0.99  4.94  -5.98
25/05/2017 20:41:26 	51.099063 23.452543  140.20   3    0.01,0.11,0.99  4.87  -5.85
25/05/2017 20:41:27 	51.099067 23.452514  140.20   3    0.00,0.11,0.98  4.83  -5.86
25/05/2017 20:41:27 	51.099067 23.452514  139.50   3    0.01,0.11,0.99  4.81  -5.93
25/05/2017 20:41:27 	51.099067 23.452514  139.50   3    0.01,0.12,0.98  4.94  -6.02
25/05/2017 20:41:28 	51.099056 23.452539  139.50   3    0.01,0.11,0.98  4.90  -6.05
25/05/2017 20:41:28 	51.099056 23.452539  139.50   3    0.01,0.11,0.98  4.90  -5.97
25/05/2017 20:41:28 	51.099056 23.452539  139.50   3    0.00,0.12,0.99  4.83  -6.06
25/05/2017 20:41:29 	51.099033 23.452587  139.50   3    0.00,0.11,0.98  4.78  -5.94
25/05/2017 20:41:29 	51.099033 23.452587  139.50   3    0.01,0.11,0.98  4.81  -5.97
25/05/2017 20:41:30 	51.099018 23.452617  139.50   3    0.01,0.11,0.99  4.85  -5.97
25/05/2017 20:41:30 	51.099018 23.452617  138.50   3    0.01,0.11,0.98  4.85  -5.96
25/05/2017 20:41:30 	51.099018 23.452617  138.50   3    0.01,0.11,0.99  4.85  -5.97
25/05/2017 20:41:31 	51.099040 23.452560  141.50   4    0.01,0.11,0.98  4.94  -5.96
25/05/2017 20:41:31 	51.099040 23.452560  141.50   4    0.00,0.12,0.98  4.84  -6.07
25/05/2017 20:41:31 	51.099040 23.452560  141.50   4    0.01,0.11,0.98  4.97  -6.04
25/05/2017 20:41:32 	51.099037 23.452568  141.50   4    0.01,0.11,0.99  4.92  -6.00
25/05/2017 20:41:32 	51.099037 23.452568  141.50   4    0.01,0.11,0.98  4.98  -6.00
25/05/2017 20:41:33 	51.099033 23.452587  141.50   4    0.01,0.11,0.99  4.99  -5.95
25/05/2017 20:41:33 	51.099033 23.452587  141.10   4    0.00,0.11,0.99  4.82  -5.84
25/05/2017 20:41:33 	51.099033 23.452587  141.10   4    0.01,0.11,0.99  4.91  -5.90
25/05/2017 20:41:34 	51.099029 23.452594  141.20   4    0.01,0.11,0.99  4.92  -5.96
